vendor,model,iOS_version,region3,ruleid,inc_num,call_num,inc_ratio
Apple,A1984,12.2,WASHINGTON DC,MUTING_VOLTE_VOICE,10770,746323,0.0144307492
Apple,A1984,12.2,WASHINGTON DC,DROP_CC_503_VOLTE_IMS,588,746323,0.0007878626
Apple,A1984,12.2,WASHINGTON DC,GARBLING_VOLTE_VOICE,56546,746323,0.0757661227
Apple,A1984,12.2,WASHINGTON DC,DROP_CC_481_VOLTE_IMS,1454,746323,0.0019482181
Apple,A1984,12.2,WASHINGTON DC,DROP_CC_408_VOLTE_IMS,94,746323,0.0001259508
Apple,A1984,12.2,WASHINGTON DC,CALL_SETUP_DELAY_VOLTE_IMS,3941,746323,0.0052805555
Apple,A1984,12.2,WASHINGTON DC,ACCESS_FAILURE_CC_503(1:223)_VOLTE_IMS,879,746323,0.0011777742
Apple,A1984,12.2,WASHINGTON DC,IMMEDIATE_VOLUNTARY_DROP_DUE_TO_MEDIA_STOP_VOLTE,48,746323,0.0000643153
Apple,A1984,12.2,WASHINGTON DC,SOFT_DROP_DUE_TO_MEDIA_STOP_VOLTE_IMS,1004,746323,0.0013452620
Apple,A1984,12.2,WASHINGTON DC,ACCESS_FAILURE_CC_504_SERVER_TIMEOUT_VOLTE_IMS,1,746323,0.0000013399
Apple,A1984,12.2,WASHINGTON DC,ACCESS_FAILURE_CC_OTHER_VOLTE_IMS,314,746323,0.0004207294
Apple,A1984,12.2,WASHINGTON DC,DROP_CC_OTHER_VOLTE_IMS,29,746323,0.0000388572
Apple,A1897,12.2,WASHINGTON DC,SOFT_DROP_DUE_TO_MEDIA_STOP_VOLTE_IMS,996,668597,0.0014896866
Apple,A1897,12.2,WASHINGTON DC,CALL_SETUP_DELAY_VOLTE_IMS,3376,668597,0.0050493795
Apple,A1897,12.2,WASHINGTON DC,MUTING_VOLTE_VOICE,9700,668597,0.0145079921
Apple,A1897,12.2,WASHINGTON DC,GARBLING_VOLTE_VOICE,60110,668597,0.0899046810
Apple,A1897,12.2,WASHINGTON DC,IMMEDIATE_VOLUNTARY_DROP_DUE_TO_MEDIA_STOP_VOLTE,51,668597,0.0000762791
Apple,A1897,12.2,WASHINGTON DC,DROP_CC_OTHER_VOLTE_IMS,36,668597,0.0000538441
